,ALBUQUERQUE,ATLANTA,BALTIMORE,BOSTON,BUFFALO,CHEYENNE,CHICAGO,CINCINNATI,CLEVELAND,DALLAS,DENVER,DETROIT,EL PASO,HOUSTON,INDIANAPOLIS,JACKSONVILLE,KANSAS CITY,LAS VEGAS,LOS ANGELES,MEMPHIS,MIAMI,MILWAUKEE,MOBILE,MONTREAL,NEW ORLEANS,NEW YORK,OAKLAND/EMERYVILLE ,PHILADELPHIA,PHOENIX,PITTSBURGH,PORTLAND,SACRAMENTO,SALT LAKE CITY,SAN ANTONIO,SAN DIEGO,SAN FRANCISCO,SEATTLE,ST. LOUIS,ST. PAUL-MINNEAPOLIS, TAMPA,TORONTO,TUCSON,VANCOUVER,WASHINGTON
SAN ANTONIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1816,2383,2854,1266,1768,1562,2294,1224,3022,2191
SAN DIEGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719,1692,2503,2464,3354,3468,592,1897,3621
SAN FRANCISCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1093,2789,2554,3846,3631,1209,1289,3886
SEATTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2745,2245,4051,3308,1957,205,3702
ST. LOUIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722,1400,1053,1999,2844,1118
ST. PAUL-MINNEAPOLIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2105,1090,2087,2305,1459
TAMPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1766,2765,4175,1308
TORONTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3011,3347,556
TUCSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2156,3106
VANCOUVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3764
WASHINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
