Source;Target;weight
Alleras;Samwell-Tarly;8
Alleras;Armen;5
Alleras;Leo-Tyrell;7
Alleras;Marwyn;3
Alleras;Mollander;7
Alleras;Pate-(novice);8
Alleras;Roone;6
Clydas;Jon-Snow;20
Clydas;Samwell-Tarly;3
Clydas;Stannis-Baratheon;3
Clydas;Mully;4
Dareon;Gilly;7
Dareon;Samwell-Tarly;26
Dareon;Lanna-(Happy-Port);4
Gilly;Jon-Snow;25
Gilly;Samwell-Tarly;49
Gilly;Kojja-Mo;7
Gilly;Melisandre;7
Gilly;Mance-Rayder;3
Jon-Snow;Samwell-Tarly;45
Jon-Snow;Sansa-Stark;3
Jon-Snow;Stannis-Baratheon;79
Jon-Snow;Robb-Stark;13
Jon-Snow;Melisandre;48
Jon-Snow;Pypar;5
Jon-Snow;Qhorin-Halfhand;3
Jon-Snow;Sigorn;6
Jon-Snow;Satin;15
Jon-Snow;Mance-Rayder;25
Jon-Snow;Tycho-Nestoris;12
Jon-Snow;Selyse-Florent;38
Jon-Snow;Shireen-Baratheon;4
Jon-Snow;Narbert-Grandison;3
Jon-Snow;Othell-Yarwyck;10
Jon-Snow;Tormund;50
Jon-Snow;Wick-Whittlestick;5
Jon-Snow;Malegorn;5
Jon-Snow;Mully;14
Jon-Snow;Val;37
Jon-Snow;Leathers;18
Jon-Snow;Rory;6
Jon-Snow;Owen;3
Jon-Snow;Patrek-of-Kings-Mountain;7
Jon-Snow;Rattleshirt;23
Jon-Snow;Soren-Shieldbreaker;3
Jon-Snow;Tom-Barleycorn;4
Jon-Snow;Toregg;6
Jon-Snow;Ulmer;3
Jon-Snow;Weeper;3
Jon-Snow;Wun-Weg-Wun-Dar-Wun;11
Jon-Snow;Ygritte;14
Samwell-Tarly;Stannis-Baratheon;19
Samwell-Tarly;Xhondo;18
Samwell-Tarly;Theobald;7
Aeron-Greyjoy;Asha-Greyjoy;7
Aeron-Greyjoy;Baelor-Blacktyde;4
Aeron-Greyjoy;Balon-Greyjoy;17
Aeron-Greyjoy;Dunstan-Drumm;4
Aeron-Greyjoy;Emmond;4
Aeron-Greyjoy;Euron-Greyjoy;27
Aeron-Greyjoy;Gormond-Goodbrother;6
Aeron-Greyjoy;Gorold-Goodbrother;10
Aeron-Greyjoy;Greydon-Goodbrother;4
Aeron-Greyjoy;Meldred-Merlyn;7
Aeron-Greyjoy;Murenmure;11
Aeron-Greyjoy;Rus;5
Aeron-Greyjoy;Theon-Greyjoy;3
Aeron-Greyjoy;Victarion-Greyjoy;20
Asha-Greyjoy;Balon-Greyjoy;12
Asha-Greyjoy;Euron-Greyjoy;23
Asha-Greyjoy;Theon-Greyjoy;13
Asha-Greyjoy;Victarion-Greyjoy;10
Asha-Greyjoy;Robert-Baratheon;4
Asha-Greyjoy;Red-Oarsman;3
Asha-Greyjoy;Rodrik-Harlaw;7
Asha-Greyjoy;Tristifer-Botley;16
Asha-Greyjoy;Stannis-Baratheon;16
Asha-Greyjoy;Justin-Massey;15
Asha-Greyjoy;Clayton-Suggs;4
Asha-Greyjoy;Galbart-Glover;8
Asha-Greyjoy;Godry-Farring;3
Asha-Greyjoy;Grimtongue;3
Asha-Greyjoy;Hagen;3
Asha-Greyjoy;Qarl-the-Maid;8
Asha-Greyjoy;Rolfe-the-Dwarf;3
Asha-Greyjoy;Sybelle-Glover;3
Asha-Greyjoy;Torgon-Greyiron;3
Asha-Greyjoy;Tycho-Nestoris;3
Baelor-Blacktyde;Balon-Greyjoy;3
Baelor-Blacktyde;Euron-Greyjoy;4
Baelor-Blacktyde;Victarion-Greyjoy;4
Balon-Greyjoy;Euron-Greyjoy;23
Balon-Greyjoy;Theon-Greyjoy;3
Balon-Greyjoy;Victarion-Greyjoy;13
Balon-Greyjoy;Stannis-Baratheon;4
Dunstan-Drumm;Victarion-Greyjoy;3
Dunstan-Drumm;Rodrik-Harlaw;3
Euron-Greyjoy;Victarion-Greyjoy;50
Euron-Greyjoy;Red-Oarsman;6
Euron-Greyjoy;Rodrik-Harlaw;4
Euron-Greyjoy;Hotho-Harlaw;4
Euron-Greyjoy;Humfrey-Hewett;3
Euron-Greyjoy;Nute;4
Euron-Greyjoy;Quellon-Greyjoy;3
Euron-Greyjoy;Sawane-Botley;3
Gorold-Goodbrother;Victarion-Greyjoy;3
Meldred-Merlyn;Victarion-Greyjoy;3
Murenmure;Theon-Greyjoy;3
Theon-Greyjoy;Wyman-Manderly;3
Theon-Greyjoy;Walder-Frey-(son-of-Merrett);6
Theon-Greyjoy;Yellow-Dick;5
Theon-Greyjoy;Walda-Frey-(daughter-of-Merrett);3
Theon-Greyjoy;Walder-Frey-(son-of-Jammos);6
Theon-Greyjoy;Wex-Pyke;3
Theon-Greyjoy;Willow-Witch-eye;4
Victarion-Greyjoy;Wulfe;3
Aerys-II-Targaryen;Cersei-Lannister;3
Aerys-II-Targaryen;Jaime-Lannister;6
Aerys-II-Targaryen;Rhaegar-Targaryen;10
Aerys-II-Targaryen;Barristan-Selmy;4
Aerys-II-Targaryen;Denys-Darklyn;4
Aerys-II-Targaryen;Elbert-Arryn;3
Aerys-II-Targaryen;Owen-Merryweather;3
Aerys-II-Targaryen;Robert-Baratheon;8
Aerys-II-Targaryen;Tywin-Lannister;16
Barristan-Selmy;Rhaegar-Targaryen;3
Barristan-Selmy;Quentyn-Martell;22
Barristan-Selmy;Tyrion-Lannister;3
Barristan-Selmy;Varys;3
Barristan-Selmy;Daenerys-Targaryen;75
Barristan-Selmy;Daario-Naharis;18
Barristan-Selmy;Grey-Worm;6
Barristan-Selmy;Jhogo;3
Barristan-Selmy;Gerris-Drinkwater;4
Barristan-Selmy;Belwas;9
Barristan-Selmy;Ben-Plumm;4
Barristan-Selmy;Bloodbeard;3
Barristan-Selmy;Galazza-Galare;5
Barristan-Selmy;Grazhar;3
Barristan-Selmy;Groleo;8
Barristan-Selmy;Hizdahr-zo-Loraq;42
Barristan-Selmy;Khrazz;8
Barristan-Selmy;Larraq;3
Barristan-Selmy;Missandei;8
Barristan-Selmy;Reznak-mo-Reznak;7
Barristan-Selmy;Skahaz-mo-Kandaq;21
Barristan-Selmy;Steelskin;3
Barristan-Selmy;Widower;3
Barristan-Selmy;Xaro-Xhoan-Daxos;3
Robert-Baratheon;Tywin-Lannister;3
Robert-Baratheon;Stannis-Baratheon;15
Robert-Baratheon;Tommen-Baratheon;9
Robert-Baratheon;Tyrion-Lannister;6
Robert-Baratheon;Taena-of-Myr;5
Robert-Baratheon;Viserys-Targaryen;3
Robert-Baratheon;Val;3
Robert-Baratheon;Willam-Dustin;3
Tywin-Lannister;Wylis-Manderly;3
Alla-Tyrell;Elinor-Tyrell;8
Alla-Tyrell;Margaery-Tyrell;7
Alla-Tyrell;Megga-Tyrell;10
Alla-Tyrell;Osney-Kettleblack;3
Elinor-Tyrell;Margaery-Tyrell;5
Elinor-Tyrell;Megga-Tyrell;10
Elinor-Tyrell;Tallad;3
Margaery-Tyrell;Robert-Baratheon;5
Margaery-Tyrell;Megga-Tyrell;9
Margaery-Tyrell;Osney-Kettleblack;14
Margaery-Tyrell;Sansa-Stark;3
Margaery-Tyrell;Orton-Merryweather;4
Margaery-Tyrell;Tommen-Baratheon;46
Margaery-Tyrell;Qyburn;6
Margaery-Tyrell;Tallad;3
Margaery-Tyrell;Osmund-Kettleblack;8
Margaery-Tyrell;Olenna-Redwyne;3
Margaery-Tyrell;Senelle;3
Margaery-Tyrell;Taena-of-Myr;15
Margaery-Tyrell;Willas-Tyrell;3
Osney-Kettleblack;Stannis-Baratheon;3
Osney-Kettleblack;Tommen-Baratheon;6
Osney-Kettleblack;Taena-of-Myr;3
Armen;Leo-Tyrell;3
Armen;Marwyn;3
Armen;Mollander;3
Armen;Pate-(novice);5
Armen;Roone;4
Leo-Tyrell;Samwell-Tarly;3
Leo-Tyrell;Pate-(novice);8
Leo-Tyrell;Roone;3
Marwyn;Samwell-Tarly;6
Mollander;Pate-(novice);3
Mollander;Roone;7
Pate-(novice);Walgrave;10
Pate-(novice);Quill;4
Pate-(novice);Rosey;9
Alys-Arryn;Elys-Waynwood;4
Alys-Arryn;Jon-Arryn;3
Jon-Arryn;Robert-Baratheon;3
Jon-Arryn;Petyr-Baelish;3
Jon-Arryn;Lysa-Arryn;3
Jon-Arryn;Tyrion-Lannister;3
Amerei-Frey;Jaime-Lannister;6
Amerei-Frey;Lyle-Crakehall;4
Amerei-Frey;Lancel-Lannister;10
Lancel-Lannister;Osmund-Kettleblack;13
Lancel-Lannister;Moon-Boy;11
Anders-Yronwood;Quentyn-Martell;4
Quentyn-Martell;Trystane-Martell;3
Quentyn-Martell;Tattered-Prince;14
Andrey-Dalt;Arianne-Martell;10
Andrey-Dalt;Garin-(orphan);11
Andrey-Dalt;Myrcella-Baratheon;4
Andrey-Dalt;Sylva-Santagar;8
Andrey-Dalt;Tyene-Sand;4
Arianne-Martell;Quentyn-Martell;8
Arianne-Martell;Garin-(orphan);18
Arianne-Martell;Myrcella-Baratheon;16
Arianne-Martell;Sylva-Santagar;10
Arianne-Martell;Tyene-Sand;4
Arianne-Martell;Arys-Oakheart;19
Arianne-Martell;Doran-Martell;26
Arianne-Martell;Obara-Sand;5
Arianne-Martell;Oberyn-Martell;3
Arianne-Martell;Cedra;8
Arianne-Martell;Franklyn-Fowler;3
Arianne-Martell;Gerold-Dayne;11
Arianne-Martell;Mellei;3
Arianne-Martell;Morra;3
Arianne-Martell;Ricasso;3
Arianne-Martell;Timoth;3
Arianne-Martell;Balon-Swann;5
Arianne-Martell;Ellaria-Sand;3
Garin-(orphan);Myrcella-Baratheon;5
Garin-(orphan);Sylva-Santagar;8
Garin-(orphan);Tyene-Sand;5
Garin-(orphan);Gerold-Dayne;5
Garin-(orphan);Nymeria-Sand;3
Myrcella-Baratheon;Sylva-Santagar;4
Myrcella-Baratheon;Stannis-Baratheon;3
Myrcella-Baratheon;Tommen-Baratheon;11
Myrcella-Baratheon;Tyrion-Lannister;9
Myrcella-Baratheon;Trystane-Martell;10
Sylva-Santagar;Tyene-Sand;3
Anya-Waynwood;Benedar-Belmore;4
Anya-Waynwood;Gilwood-Hunter;6
Anya-Waynwood;Harrold-Hardyng;6
Anya-Waynwood;Horton-Redfort;7
Anya-Waynwood;Petyr-Baelish;10
Anya-Waynwood;Symond-Templeton;6
Anya-Waynwood;Yohn-Royce;5
Benedar-Belmore;Gilwood-Hunter;3
Benedar-Belmore;Horton-Redfort;5
Benedar-Belmore;Petyr-Baelish;5
Benedar-Belmore;Symond-Templeton;4
Gilwood-Hunter;Horton-Redfort;6
Gilwood-Hunter;Symond-Templeton;4
Gilwood-Hunter;Lysa-Arryn;3
Harrold-Hardyng;Yohn-Royce;3
Harrold-Hardyng;Robert-Arryn;4
Horton-Redfort;Yohn-Royce;3
Petyr-Baelish;Symond-Templeton;5
Petyr-Baelish;Yohn-Royce;12
Petyr-Baelish;Sansa-Stark;18
Petyr-Baelish;Tyrion-Lannister;5
Petyr-Baelish;Pycelle;4
Petyr-Baelish;Varys;4
Petyr-Baelish;Robert-Arryn;22
Symond-Templeton;Yohn-Royce;4
Areo-Hotah;Arianne-Martell;28
Areo-Hotah;Myrcella-Baratheon;5
Areo-Hotah;Arys-Oakheart;11
Areo-Hotah;Caleotte;7
Areo-Hotah;Doran-Martell;44
Areo-Hotah;Obara-Sand;13
Areo-Hotah;Oberyn-Martell;3
Areo-Hotah;Balon-Swann;4
Areo-Hotah;Ellaria-Sand;3
Arys-Oakheart;Garin-(orphan);3
Arys-Oakheart;Myrcella-Baratheon;18
Arys-Oakheart;Doran-Martell;3
Arys-Oakheart;Gerold-Dayne;6
Caleotte;Doran-Martell;11
Caleotte;Obara-Sand;5
Caleotte;Gregor-Clegane;4
Doran-Martell;Robert-Baratheon;3
Doran-Martell;Tywin-Lannister;4
Doran-Martell;Quentyn-Martell;4
Doran-Martell;Myrcella-Baratheon;11
Doran-Martell;Tyene-Sand;6
Doran-Martell;Obara-Sand;12
Doran-Martell;Oberyn-Martell;10
Doran-Martell;Gregor-Clegane;8
Doran-Martell;Nymeria-Sand;7
Doran-Martell;Viserys-Targaryen;3
Doran-Martell;Ellaria-Sand;3
Obara-Sand;Tyene-Sand;16
Oberyn-Martell;Tyene-Sand;3
Cedra;Garin-(orphan);5
Gerold-Dayne;Myrcella-Baratheon;9
Mellei;Morra;5
