Source;Target;weight
Addam-Marbrand;Gyles-Rosby;3
Addam-Marbrand;Jaime-Lannister;3
Addam-Marbrand;Jalabhar-Xho;3
Addam-Marbrand;Joffrey-Baratheon;3
Addam-Marbrand;Kevan-Lannister;3
Addam-Marbrand;Oberyn-Martell;3
Addam-Marbrand;Tyrion-Lannister;7
Addam-Marbrand;Varys;4
Aegon-Frey-(son-of-Stevron);Catelyn-Stark;4
Aegon-Frey-(son-of-Stevron);Robb-Stark;5
Aegon-Frey-(son-of-Stevron);Stevron-Frey;3
Aegon-Frey-(son-of-Stevron);Walder-Frey;6
Aegon-I-Targaryen;Daenerys-Targaryen;4
Aegon-I-Targaryen;Stannis-Baratheon;4
Aegon-I-Targaryen;Torrhen-Stark;3
Aegon-Targaryen-(son-of-Rhaegar);Elia-Martell;3
Aemon-Targaryen-(Dragonknight);Jaime-Lannister;3
Aemon-Targaryen-(Maester-Aemon);Alliser-Thorne;3
Aemon-Targaryen-(Maester-Aemon);Clydas;16
Aemon-Targaryen-(Maester-Aemon);Cotter-Pyke;3
Aemon-Targaryen-(Maester-Aemon);Denys-Mallister;4
Aemon-Targaryen-(Maester-Aemon);Donal-Noye;11
Aemon-Targaryen-(Maester-Aemon);Eddison-Tollett;3
Aemon-Targaryen-(Maester-Aemon);Grenn;5
Aemon-Targaryen-(Maester-Aemon);Hobb;3
Aemon-Targaryen-(Maester-Aemon);Janos-Slynt;5
Aemon-Targaryen-(Maester-Aemon);Jeor-Mormont;3
Aemon-Targaryen-(Maester-Aemon);Jon-Snow;36
Aemon-Targaryen-(Maester-Aemon);Mance-Rayder;5
Aemon-Targaryen-(Maester-Aemon);Owen;3
Aemon-Targaryen-(Maester-Aemon);Pypar;5
Aemon-Targaryen-(Maester-Aemon);Robert-Baratheon;5
Aemon-Targaryen-(Maester-Aemon);Samwell-Tarly;32
Aemon-Targaryen-(Maester-Aemon);Stannis-Baratheon;9
Aemon-Targaryen-(Maester-Aemon);Wynton-Stout;3
Aerys-II-Targaryen;Arthur-Dayne;5
Aerys-II-Targaryen;Brienne-of-Tarth;3
Aerys-II-Targaryen;Jaime-Lannister;22
Aerys-II-Targaryen;Joffrey-Baratheon;6
Aerys-II-Targaryen;Robert-Baratheon;9
Aerys-II-Targaryen;Rossart;4
Aerys-II-Targaryen;Tyrion-Lannister;6
Aerys-II-Targaryen;Tywin-Lannister;10
Aerys-II-Targaryen;Viserys-Targaryen;3
Aggo;Jhogo;4
Aggo;Rakharo;3
Alayaya;Bronn;3
Alayaya;Cersei-Lannister;3
Alayaya;Tyrion-Lannister;4
Alerie-Hightower;Mace-Tyrell;3
Alerie-Hightower;Margaery-Tyrell;3
Alester-Florent;Axell-Florent;4
Alester-Florent;Davos-Seaworth;11
Alester-Florent;Lamprey;3
Alester-Florent;Selyse-Florent;4
Alester-Florent;Stannis-Baratheon;4
Alla-Tyrell;Elinor-Tyrell;5
Alla-Tyrell;Megga-Tyrell;6
Alla-Tyrell;Sansa-Stark;4
Alliser-Thorne;Janos-Slynt;13
Alliser-Thorne;Jon-Snow;22
Alliser-Thorne;Mance-Rayder;6
Alliser-Thorne;Qhorin-Halfhand;4
Alliser-Thorne;Samwell-Tarly;4
Alliser-Thorne;Stannis-Baratheon;3
Amory-Lorch;Gregor-Clegane;3
Amory-Lorch;Jaime-Lannister;3
Amory-Lorch;Oberyn-Martell;6
Amory-Lorch;Tywin-Lannister;4
Amory-Lorch;Vargo-Hoat;3
Anders-Yronwood;Oberyn-Martell;3
Andrew-Estermont;Davos-Seaworth;4
Andrew-Estermont;Edric-Storm;4
Andrew-Estermont;Gerald-Gower;3
Anguy;Arya-Stark;15
Anguy;Beric-Dondarrion;4
Anguy;Greenbeard;9
Anguy;Harwin;7
Anguy;Husband;3
Anguy;Lem;22
Anguy;Sandor-Clegane;3
Anguy;Sharna;6
Anguy;Tom-of-Sevenstreams;12
Arson;Jon-Snow;3
Arstan;Belwas;25
Arstan;Daenerys-Targaryen;29
Arstan;Illyrio-Mopatis;3
Arstan;Jhiqui;3
Arstan;Jorah-Mormont;13
Arstan;Kraznys-mo-Nakloz;3
Arstan;Mero;7
Arstan;Rhaegar-Targaryen;7
Arthur-Dayne;Gerold-Hightower;5
Arthur-Dayne;Lewyn-Martell;3
Arthur-Dayne;Rhaegar-Targaryen;3
Arthur-Dayne;Smiling-Knight;4
Arya-Stark;Beric-Dondarrion;23
Arya-Stark;Bran-Stark;9
Arya-Stark;Brynden-Tully;4
Arya-Stark;Catelyn-Stark;3
Arya-Stark;Cersei-Lannister;6
Arya-Stark;Dunsen;3
Arya-Stark;Eddard-Stark;6
Arya-Stark;Elmar-Frey;4
Arya-Stark;Gendry;46
Arya-Stark;Greenbeard;9
Arya-Stark;Gregor-Clegane;6
Arya-Stark;Harwin;17
Arya-Stark;Hot-Pie;25
Arya-Stark;Ilyn-Payne;3
Arya-Stark;Jaime-Lannister;10
Arya-Stark;Joffrey-Baratheon;10
Arya-Stark;Jon-Snow;9
Arya-Stark;Lem;24
Arya-Stark;Mad-Huntsman;4
Arya-Stark;Meryn-Trant;3
Arya-Stark;Mycah;6
Arya-Stark;Nan;7
Arya-Stark;Pate-(Old);4
Arya-Stark;Polliver;11
Arya-Stark;Rafford;5
Arya-Stark;Ravella-Swann;7
Arya-Stark;Rickon-Stark;8
Arya-Stark;Robb-Stark;14
Arya-Stark;Robert-Baratheon;5
Arya-Stark;Roose-Bolton;8
Arya-Stark;Sandor-Clegane;48
Arya-Stark;Sansa-Stark;23
Arya-Stark;Thoros-of-Myr;21
Arya-Stark;Tickler;5
Arya-Stark;Tom-of-Sevenstreams;24
Arya-Stark;Tyrion-Lannister;7
Axell-Florent;Davos-Seaworth;21
Axell-Florent;Lamprey;5
Axell-Florent;Melisandre;4
Axell-Florent;Porridge;5
Axell-Florent;Salladhor-Saan;3
Axell-Florent;Selyse-Florent;8
Axell-Florent;Stannis-Baratheon;16
